Name,Height,Weight,Position,OVR,Preferred foot,Weak foot,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Free Kick Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Def Awareness,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
Erling Braut Haaland,195,94,Delantero,91,Left,3,47,96,83,77,90,79,77,62,63,82,82,94,78,94,72,94,93,76,93,86,87,43,96,74,86,87,38,47,29,7,14,13,11.0,7.0
Kylian Mbappé Lottin,182,75,Delantero,91,Right,4,78,94,73,86,84,93,80,69,71,92,97,97,93,93,82,90,88,88,77,83,64,38,93,83,84,88,26,34,32,13,5,7,11.0,6.0
Kevin De Bruyne,181,75,Mediocampista,91,Right,5,95,85,55,94,83,86,92,83,94,92,74,74,76,92,78,92,73,88,75,92,75,66,88,95,83,88,66,70,53,15,13,5,10.0,13.0
Rodrigo Hernández Cascante,191,82,Mediocampista,90,Right,4,71,70,81,92,59,81,80,63,90,88,59,65,65,93,67,92,81,89,83,88,85,84,76,84,62,87,92,87,78,10,10,7,14.0,8.0
Harry Kane,188,85,Delantero,90,Right,5,80,95,89,87,89,82,82,65,88,87,67,71,66,93,73,93,87,81,84,87,80,42,94,87,92,92,46,46,38,8,10,11,14.0,11.0
Thibaut Nicolas Marc Courtois,200,96,Arquero,90,Left,3,14,14,13,33,12,13,19,20,35,23,42,52,63,88,45,57,68,38,70,17,23,15,13,44,27,66,20,18,16,85,89,76,90.0,93.0
Robert Lewandowski,185,81,Delantero,90,Right,4,76,93,91,84,89,86,79,85,70,90,76,75,77,93,83,91,92,76,89,84,81,49,94,81,90,88,35,42,19,15,6,12,8.0,10.0
Rúben dos Santos Gato Alves Dias,187,82,Defensor,89,Right,4,54,29,87,83,32,64,46,48,76,75,54,69,60,89,56,74,84,78,90,26,93,86,39,51,45,81,91,91,87,7,8,13,7.0,12.0
Vinícius José Paixão de Oliveira Júnior,176,73,Delantero,89,Right,4,78,89,50,80,72,92,77,62,77,90,95,95,94,86,84,76,74,84,65,80,58,26,87,81,65,79,32,25,18,5,7,7,7.0,10.0
Alisson Ramsés Becker,193,91,Arquero,89,Right,3,17,13,29,60,20,27,19,18,58,42,60,49,40,87,37,64,82,32,78,14,27,11,13,66,23,66,15,19,16,86,85,85,90.0,89.0
Mohamed Salah Ghaly,175,72,Delantero,89,Left,3,80,92,59,85,83,88,84,69,77,86,89,89,89,93,91,82,81,87,77,84,63,55,92,85,81,90,38,43,41,14,14,9,11.0,14.0
Virgil van Dijk,193,92,Defensor,89,Right,3,53,52,87,80,45,70,60,70,86,77,66,87,59,88,50,81,89,72,93,64,85,88,47,67,62,89,90,91,86,13,10,13,11.0,11.0
Marc-André ter Stegen,187,85,Arquero,89,Right,4,18,14,11,61,14,21,18,12,63,30,45,50,39,85,43,67,72,35,78,10,43,22,11,70,25,70,25,13,10,86,85,89,86.0,91.0
Karim Benzema,185,81,Delantero,89,Right,4,75,91,90,89,88,87,82,73,76,91,76,77,77,90,72,87,83,80,80,81,63,39,90,90,76,90,43,24,18,13,11,5,5.0,7.0
Jude Victor William Bellingham,186,75,Mediocampista,88,Right,4,66,87,69,89,74,88,73,56,87,87,81,80,82,89,79,79,81,93,75,80,85,82,88,87,64,85,77,79,77,14,11,10,5.0,8.0
Lautaro Javier Martínez,174,72,Delantero,88,Right,4,60,91,86,75,91,85,78,54,73,88,83,77,88,90,89,85,93,80,84,78,90,45,91,78,74,88,55,31,44,11,8,8,8.0,13.0
Ederson Santana de Moraes,188,86,Arquero,88,Left,3,20,14,14,65,18,30,40,20,68,45,64,63,60,88,48,68,79,44,78,18,38,27,20,70,51,70,29,15,8,87,82,91,86.0,87.0
Jan Oblak,188,87,Arquero,88,Right,3,13,11,15,43,13,12,13,14,40,30,42,53,64,85,48,59,72,42,78,12,36,24,11,67,11,68,27,14,18,85,90,78,86.0,87.0
Antoine Griezmann,176,73,Delantero,88,Left,3,82,90,85,89,86,88,89,85,86,89,81,80,89,90,84,85,85,86,69,87,74,59,90,88,79,89,45,63,64,14,8,14,13.0,14.0
Florian Richard Wirtz,177,71,Mediocampista,87,Right,4,82,79,42,89,74,87,80,64,86,89,81,80,87,86,86,75,61,83,53,75,63,44,81,90,60,84,58,49,44,14,14,13,6.0,10.0
Gregor Kobel,195,88,Arquero,87,Right,3,13,10,13,39,10,24,13,12,33,34,38,52,37,85,29,55,71,30,81,10,24,14,10,59,12,66,15,15,15,86,84,73,86.0,89.0
