Name,OVR,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Position,Weak foot,Preferred foot,Height,Weight,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
Rodri,91,65,66,76,74,92,89,71,62,84,76,64,93,91,86,84,66,67,93,90,94,84,81,92,87,82,83,91,83,85,Mediocampista,4,Right,191,82,0,0,0,0.0,0.0
Vini Jr.,90,95,95,87,89,81,83,73,71,85,81,62,83,77,79,93,94,84,86,90,83,26,50,32,25,18,74,84,65,58,Delantero,4,Right,176,73,0,0,0,0.0,0.0
Phil Foden,88,89,83,85,88,89,89,59,64,86,80,74,88,84,88,90,92,92,85,91,86,59,47,60,59,47,66,83,53,64,Delantero,3,Left,171,69,0,0,0,0.0,0.0
Neymar Jr,87,86,84,81,80,77,75,84,85,85,81,87,85,80,86,94,90,83,78,93,92,37,63,35,32,29,72,73,52,63,Delantero,5,Right,175,68,0,0,0,0.0,0.0
Marquinhos,87,76,81,70,59,65,45,35,52,76,68,32,84,85,58,69,68,67,86,79,86,89,88,90,89,88,89,83,79,81,Defensor,3,Right,183,75,0,0,0,0.0,0.0
Pedri,86,79,76,79,72,68,68,56,53,88,68,62,88,86,79,87,88,90,87,88,87,73,50,68,77,65,73,87,73,62,Mediocampista,4,Right,174,60,0,0,0,0.0,0.0
Ronald Araujo,85,76,86,56,56,68,35,38,43,59,58,45,75,66,47,55,56,55,84,68,76,85,85,84,85,85,92,72,87,87,Defensor,3,Right,188,79,0,0,0,0.0,0.0
Éder Militão,85,81,88,64,48,62,42,34,60,59,69,40,78,76,60,70,70,62,84,72,76,85,86,85,86,85,91,85,79,83,Defensor,3,Right,186,78,0,0,0,0.0,0.0
Vitinha,85,75,69,77,77,76,83,62,73,85,78,68,88,85,81,87,91,88,85,87,88,80,52,74,77,68,66,81,59,77,Mediocampista,3,Right,172,64,0,0,0,0.0,0.0
Diogo Jota,85,85,80,88,85,86,76,79,69,78,73,58,77,72,77,83,86,87,88,85,83,56,86,53,57,45,91,80,75,85,Delantero,5,Right,178,70,0,0,0,0.0,0.0
Sandro Tonali,85,81,86,75,69,82,83,68,64,79,78,81,85,83,75,78,81,83,83,85,84,84,70,83,84,81,84,80,82,84,Mediocampista,4,Right,181,79,0,0,0,0.0,0.0
Nico Williams,85,94,93,78,77,78,72,64,62,80,83,72,82,64,78,88,92,84,80,85,78,40,65,36,28,25,78,81,60,55,Mediocampista,5,Right,181,67,0,0,0,0.0,0.0
Raphinha,84,90,91,83,78,83,79,72,78,80,80,79,78,74,81,87,88,79,84,85,80,55,74,47,54,38,83,86,65,76,Delantero,4,Left,176,68,0,0,0,0.0,0.0
Dani Olmo,84,78,69,82,77,79,78,80,66,85,78,75,86,79,75,87,86,87,86,87,82,57,43,50,50,44,60,66,54,51,Mediocampista,4,Right,179,72,0,0,0,0.0,0.0
Álex Remiro,84,40,46,11,13,60,11,15,24,35,12,17,36,29,14,19,70,40,79,26,55,20,13,14,17,18,68,42,73,34,Arquero,4,Right,192,79,84,79,80,86.0,86.0
Cristian Romero,84,67,68,43,48,51,36,52,40,50,42,38,75,64,54,60,67,64,85,69,82,86,82,85,86,85,86,71,83,89,Defensor,2,Right,185,79,0,0,0,0.0,0.0
Casemiro,84,35,40,71,69,82,78,77,66,77,68,70,83,81,75,68,48,51,83,77,79,82,80,81,84,83,75,73,84,91,Mediocampista,3,Right,185,84,0,0,0,0.0,0.0
Kim Min Jae,83,74,78,48,23,51,37,24,30,57,35,23,75,64,36,57,65,65,82,68,66,85,81,84,87,85,84,76,86,84,Defensor,3,Right,190,81,0,0,0,0.0,0.0
Gabriel Martinelli,83,91,88,82,82,77,73,78,62,79,77,68,78,65,74,87,87,81,82,84,79,39,72,44,44,43,82,82,63,80,Delantero,3,Right,178,75,0,0,0,0.0,0.0
Willi Orban,83,50,65,42,38,37,29,31,41,44,39,32,74,68,28,52,48,52,82,59,72,83,85,86,86,81,90,58,85,83,Defensor,3,Right,186,87,0,0,0,0.0,0.0
Gavi,83,77,75,81,71,56,70,49,51,83,69,47,84,82,74,86,86,90,86,85,74,79,42,59,78,72,62,84,58,85,Mediocampista,3,Right,173,70,0,0,0,0.0,0.0
Koke,83,70,68,76,69,82,75,57,67,85,85,77,85,83,84,77,70,81,82,83,84,82,61,78,81,70,74,85,75,78,Mediocampista,4,Right,176,75,0,0,0,0.0,0.0
Marcus Thuram,83,84,89,80,83,84,78,77,70,80,78,58,80,70,74,86,78,66,85,80,77,50,80,44,49,42,94,83,88,71,Delantero,4,Right,192,80,0,0,0,0.0,0.0
